code,city,hospName,hospID,hospAddress,latitude,longitude,hospTel
7,高雄市,觀亭診所,3542241059,高雄市內門區中正路168號,22.918244,120.454604,6674882
7,高雄市,高雄市內門區衛生所,2342240011,高雄市內門區觀亭里中埔頭20號,22.924516,120.453989,6671088
7,高雄市,高雄市六龜區衛生所,2342210013,高雄市六龜區六龜里民治路16號,22.998336,120.633315,6891244
7,高雄市,大嘉診所,3542211257,高雄市六龜區義寶里太平路114號,22.995201,120.637516,6895789
7,高雄市,好心腸診所,3507301718,高雄市左營區華夏路1212號1-2樓,22.684828,120.310357,3430630
7,高雄市,高雄榮民總醫院,0602030026,高雄市左營區大中一路386號,22.677696,120.322256,3422121
7,高雄市,大中診所,3507301861,高雄市左營區大中二路619號,22.683368,120.307204,3500348
7,高雄市,沈嘉充診所,3502030750,高雄市左營區中華一路5號,22.669658,120.286816,5851778
7,高雄市,江春木診所,3502030170,高雄市左營區天祥二路103、105號,22.668565,120.313693,5567377
7,高雄市,蘇峯民耳鼻喉科診所,3507300499,高雄市左營區文自路842號1樓,22.684343,120.315166,3507990
7,高雄市,李凱斌小兒科診所,3502032227,高雄市左營區文莊路53號,22.677264,120.312129,3454784
7,高雄市,國聖診所,3502030947,高雄市左營區文慈路150號,22.681833,120.318117,3506203
7,高雄市,振亮診所,3507300819,高雄市左營區左營大路156號,22.683758,120.28922,5879799
7,高雄市,長安診所,3502030616,高雄市左營區左營大路253號1樓,22.686184,120.290476,5821864
7,高雄市,加安耳鼻喉科診所,3502030554,高雄市左營區左營大路95號,22.682679,120.288363,5816899
7,高雄市,德安診所,3502030821,高雄市左營區民族一路901巷1號,22.681183,120.318234,3464695
7,高雄市,常安診所,3507301763,高雄市左營區立大路175號,22.677094,120.303382,3503551
7,高雄市,立馨診所,3507301450,高雄市左營區立大路78號,22.675305,120.302526,3590639
7,高雄市,鄭倩寧家醫科診所,3502033064,高雄市左營區自由二路226號1樓,22.663993,120.308522,5507919
7,高雄市,黃昭文診所,3502030643,高雄市左營區自由二路255號,22.662472,120.308241,5592289
7,高雄市,豐田診所,3507301129,高雄市左營區自由二路309號,22.663242,120.308143,5506000
7,高雄市,裕興診所,3502032129,高雄市左營區自由二路320號1樓,22.665291,120.308882,5583277
7,高雄市,文仁小兒科診所,3507301334,高雄市左營區自由三路172號1樓,22.671695,120.311348,3455959
7,高雄市,張簡耳鼻喉科診所,3502032110,高雄市左營區自由三路300號1樓,22.674068,120.312325,3454185
7,高雄市,康澤小兒科診所,3502032790,高雄市左營區自由三路382號,22.67498,120.31259,3453356
7,高雄市,九大自由診所,3507300453,高雄市左營區自由三路410號1樓,22.675615,120.312759,3591963
7,高雄市,恩欣小兒科診所,3502033082,高雄市左營區自由四路324號1樓,22.684915,120.316579,3451966
7,高雄市,彌馨診所,3507300097,高雄市左營區至聖路288號,22.659789,120.304354,8629880
7,高雄市,永霖小兒科診所,3502033304,高雄市左營區孟子路415號,22.6755,120.307683,3498118
7,高雄市,賴孟德診所,3507300186,高雄市左營區孟子路608號,22.677985,120.303923,3439801
7,高雄市,許志榮診所,3507301852,高雄市左營區孟子路686號1樓,22.679093,120.302409,3506056
7,高雄市,楊宜璋耳鼻喉科診所,3502030723,高雄市左營區明誠二路362號,22.661249,120.307227,5591007
7,高雄市,馨蕙馨醫院,1502031095,高雄市左營區明誠二路541號,22.660969,120.303828,5586080
7,高雄市,馬遠成診所,3502030385,高雄市左營區果峰街2巷3號,22.670463,120.289197,5832348
7,高雄市,欣正中診所,3502032576,高雄市左營區南屏路245號1樓,22.669663,120.297991,5555171
7,高雄市,蔡鶴峰診所,3502030483,高雄市左營區後昌路601號,22.707706,120.29952,3661818
7,高雄市,國軍左營總醫院,0502030015,高雄市左營區軍校路553號,22.700351,120.292231,5817121
7,高雄市,福山診所,3502033297,高雄市左營區重愛路218號,22.685597,120.315601,3482323
7,高雄市,文愛診所,3507300908,高雄市左營區重愛路303號1.2樓,22.686491,120.314109,3430123
7,高雄市,蔡昌學復健科診所,3502033028,高雄市左營區崇德路287號,22.675844,120.303349,3502290
7,高雄市,德仁診所,3502030072,高雄市左營區勝利路190號,22.681598,120.288534,5819228
7,高雄市,博愛蕙馨醫院,1507300022,高雄市左營區博愛二路20號,22.656832,120.303458,8628880
7,高雄市,王聖智耳鼻喉科診所,3502032101,高雄市左營區博愛二路292號1樓,22.662416,120.303471,5586755
7,高雄市,豐田博愛診所,3507301610,高雄市左營區博愛四路16號,22.681519,120.310987,3418880
7,高雄市,宗禾診所,3507300748,高雄市左營區博愛四路80號,22.681764,120.311294,3500980
7,高雄市,富誠診所,3502033420,高雄市左營區富國路355號1樓,22.666858,120.307306,5560925
7,高雄市,王欽程診所,3502032316,高雄市左營區華夏路1141號,22.684322,120.308991,3491111
7,高雄市,金仁福診所,3502032192,高雄市左營區華夏路228號,22.669937,120.296711,5529843
7,高雄市,鈞安婦幼聯合醫院,1507300068,高雄市左營區華夏路609號,22.663242,120.308143,3480088
7,高雄市,薛智峰耳鼻喉科診所,3502032432,高雄市左營區華夏路703號,22.678187,120.302074,3439190
7,高雄市,華夏診所,3502032325,高雄市左營區華夏路708號1樓,22.677824,120.30224,3453961
7,高雄市,陳進成診所,3502032594,高雄市左營區華夏路985號1樓,22.681533,120.305338,3503387
7,高雄市,安生診所,3502030634,高雄市左營區裕誠路166號1樓,22.66432,120.31133,5586166
7,高雄市,謝宗哲耳鼻喉科診所,3502032334,高雄市左營區裕誠路424號1樓,22.665821,120.305456,5584717
7,高雄市,董永豪診所,3507300855,高雄市左營區廍後街4號,22.683672,120.288469,5850268
7,高雄市,晨田耳鼻喉科診所,3502032781,高雄市左營區榮佑路41號,22.681702,120.320644,3508893
7,高雄市,維寧好耳鼻喉科診所,3507301656,高雄市左營區重愛路196號1樓,22.685195,120.316115,3500850
7,高雄市,自由心胸診所,3507301816,高雄市左營區自由二路340號1-2樓,22.66572,120.309004,5588001
7,高雄市,陳乃銘診所,3507302000,高雄市左營區重愛路198號1樓,22.68524,120.316083,3506797
7,高雄市,信川內科診所,3507302028,高雄市左營區重信路431號1樓,22.683385,120.310765,3451621
7,高雄市,陳乃菁診所,3507301790,高雄市左營區博愛三路621號1樓及623號1樓,22.679673,120.308342,3453468
7,高雄市,葉乙力小兒科診所,3502032343,高雄市左營區華夏路700號,22.677745,120.302171,3456256
7,高雄市,高雄市永安區衛生所,2342180010,高雄市永安區永安路26號,22.818791,120.225365,6912015
7,高雄市,高雄市田寮區衛生所,2342130010,高雄市田寮里崗北路32號,22.873036,120.359363,6361504
7,高雄市,高雄市甲仙區衛生所,2342220019,高雄市甲仙區中山路52號,23.083935,120.587453,6751029
7,高雄市,高雄市杉林區衛生所,2342230015,高雄市杉林區上平里山仙路93巷2號,22.976932,120.538613,6771319
7,高雄市,立恩診所,3507230072,高雄市杉林區清水路98號1樓,22.966605,120.53379,6771193
